Heuristics: TotalHeight Bumpiness NumHoles RowsCleared,Fitness Function = rowsCleared, 30 particles 100 iterations
2018-04-11 00:50:59,2018-04-11 00:51:00,155
2018-04-11 00:51:00,2018-04-11 00:51:01,179
2018-04-11 00:51:01,2018-04-11 00:51:02,403
2018-04-11 00:51:03,2018-04-11 00:51:04,178
2018-04-11 00:51:04,2018-04-11 00:51:04,148
2018-04-11 00:51:04,2018-04-11 00:51:07,437
2018-04-11 00:51:07,2018-04-11 00:51:10,630
2018-04-11 00:51:10,2018-04-11 00:51:12,654
2018-04-11 00:51:12,2018-04-11 00:51:13,96
2018-04-11 00:51:13,2018-04-11 00:51:16,618
2018-04-11 00:51:16,2018-04-11 00:51:16,236
2018-04-11 00:51:16,2018-04-11 00:51:19,453
2018-04-11 00:51:19,2018-04-11 00:51:24,1069
2018-04-11 00:51:24,2018-04-11 00:51:29,791
2018-04-11 00:51:29,2018-04-11 00:51:31,336
2018-04-11 00:51:31,2018-04-11 00:51:32,188
2018-04-11 00:51:32,2018-04-11 00:51:33,329
2018-04-11 00:51:33,2018-04-11 00:51:34,154
2018-04-11 00:51:34,2018-04-11 00:51:40,1140
2018-04-11 00:51:40,2018-04-11 00:51:41,121
2018-04-11 00:51:41,2018-04-11 00:51:44,770
2018-04-11 00:51:44,2018-04-11 00:51:46,380
2018-04-11 00:51:46,2018-04-11 00:51:48,697
2018-04-11 00:51:48,2018-04-11 00:51:49,202
2018-04-11 00:51:49,2018-04-11 00:51:51,333
2018-04-11 00:51:51,2018-04-11 00:51:53,299
2018-04-11 00:51:53,2018-04-11 00:51:54,337
2018-04-11 00:51:54,2018-04-11 00:51:54,75
2018-04-11 00:51:54,2018-04-11 00:51:59,1274
2018-04-11 00:51:59,2018-04-11 00:52:00,299
2018-04-11 00:52:00,2018-04-11 00:52:01,242
